Model,AUC-ROC,F1-Score,Accuracy,Precision,Recall,Threshold
Random Forest,0.9717145008872199,0.9635052689961175,0.9402470032691609,0.9422868301149924,0.9857013163867453,0.5
Logistic Regression,0.9490436594726199,0.950199203187251,0.9182709771158736,0.9272138228941684,0.9743531547889241,0.5
Decision Tree,0.9388908719514711,0.9174072757435715,0.8734108245550308,0.9598313910240516,0.8785746709033136,0.5
